Task_ID,Task_Name,Priority,Deadline,Estimated_Time,Task_Type,Dependency,Employee_ID,Completion_Status,Urgency_Score,Days_Left,Normalized_Urgency,Dependency_Count,Status
1588,Review - Thesis Chapter,3,10-06-2025,1,Review,"1545,288",578,Incomplete,6,29,0.6,1,Pending
3861,Review - Documentation,1,02-06-2025,2,Review,3161,342,Incomplete,6,21,0.6,0,Pending
4638,Meeting - Sprint Planning,3,08-02-2026,1,Meeting,"3672,1185",250,Incomplete,8,272,0.8,2,Pending
4914,Meeting - Retrospective,2,01-02-2026,8,Meeting,"1836,861,3914",146,Complete,6,265,0.6,1,Complete
1157,Review - Documentation,3,10-11-2025,5,Review,,394,Incomplete,1,182,0.1,0,Pending
203,Review - Research Paper,1,01-03-2026,1,Review,"26,31,200",502,Incomplete,5,293,0.5,2,Pending
4920,Planning - Roadmap,2,04-09-2025,5,Planning,"1426,3491",320,Complete,1,115,0.1,0,Complete
2883,Planning - Progress Review,2,16-11-2025,1,Planning,"682,1993",462,Incomplete,5,188,0.5,1,Pending
767,Review - Thesis Chapter,3,29-11-2025,4,Review,"697,170,116",128,Complete,5,201,0.5,3,Complete
2832,Analysis - Performance Tuning,1,02-10-2025,7,Analysis,,360,Incomplete,5,143,0.5,0,Pending
1417,Planning - Budget Report,3,08-07-2025,7,Planning,,474,Incomplete,5,57,0.5,2,Pending
4340,Meeting - Team Sync,2,26-01-2026,8,Meeting,74,163,Incomplete,2,259,0.2,3,Pending
1212,Review - Experiment Design,3,22-08-2025,2,Review,,487,Incomplete,3,102,0.3,3,Pending
768,Analysis - Performance Tuning,2,07-10-2025,7,Analysis,394,548,Complete,5,148,0.5,1,Complete
1927,Planning - Budget Report,3,01-03-2026,6,Planning,"1529,1419",502,Incomplete,2,293,0.2,2,Pending
1793,Planning - Budget Report,3,31-03-2026,2,Planning,,464,Incomplete,7,323,0.7,1,Pending
2634,Analysis - Database Migration,3,24-05-2025,3,Analysis,,389,Incomplete,5,12,0.5,0,Pending
166,Planning - Budget Report,2,22-07-2025,8,Planning,"56,96",509,Incomplete,6,71,0.6,0,Pending
483,Review - Research Paper,3,05-09-2025,3,Review,,184,Incomplete,10,116,1.0,3,Pending
262,Review - Research Paper,3,24-09-2025,3,Review,"225,50,68",327,Incomplete,8,135,0.8,0,Pending
4963,Planning - Roadmap,2,07-12-2025,8,Planning,"3311,291,2614",363,Incomplete,9,209,0.9,2,Pending
2391,Review - Experiment Design,2,16-10-2025,5,Review,,232,Incomplete,9,157,0.9,2,Pending
3048,Review - Research Paper,3,26-06-2025,2,Review,1376,474,Incomplete,9,45,0.9,0,Pending
2737,Meeting - Client Call,1,03-08-2025,3,Meeting,,370,Incomplete,4,83,0.4,2,Pending
1071,Planning - Resource Allocation,1,24-11-2025,3,Planning,30,111,Complete,3,196,0.3,3,Complete
3280,Meeting - Sprint Planning,3,26-07-2025,3,Meeting,2876,185,Complete,2,75,0.2,3,Complete
3546,Planning - Budget Report,1,02-04-2025,7,Planning,,107,Incomplete,4,40,0.4,2,Overdue
2103,Analysis - API Optimization,2,26-01-2026,1,Analysis,866,295,Incomplete,1,259,0.1,3,Pending
4322,Review - Experiment Design,1,09-08-2025,2,Review,,514,Complete,4,89,0.4,1,Complete
2825,Meeting - Client Call,2,29-01-2026,4,Meeting,872,309,Complete,8,262,0.8,3,Complete
4410,Planning - Resource Allocation,2,14-03-2026,8,Planning,,319,Complete,6,306,0.6,3,Complete
1641,Analysis - Database Migration,1,03-06-2025,6,Analysis,792,310,Complete,1,22,0.1,0,Complete
4389,Planning - Progress Review,3,08-05-2025,5,Planning,1339,453,Incomplete,2,4,0.2,2,Overdue
1402,Analysis - Performance Tuning,3,08-09-2025,1,Analysis,,320,Incomplete,7,119,0.7,1,Pending
2447,Review - Documentation,1,01-02-2026,2,Review,465,420,Incomplete,5,265,0.5,0,Pending
278,Meeting - Team Sync,2,14-12-2025,6,Meeting,230,417,Incomplete,7,216,0.7,1,Pending
1480,Planning - Budget Report,1,09-07-2025,1,Planning,,197,Incomplete,9,58,0.9,3,Pending
1655,Analysis - Code Refactoring,3,20-06-2025,3,Analysis,,372,Incomplete,9,39,0.9,0,Pending
3173,Analysis - Database Migration,1,26-02-2026,6,Analysis,101,528,Incomplete,7,290,0.7,3,Pending
3668,Meeting - Team Sync,3,01-11-2025,5,Meeting,"2379,1714,2925",286,Incomplete,1,173,0.1,3,Pending
391,Review - Research Paper,2,05-03-2026,5,Review,,374,Incomplete,2,297,0.2,2,Pending
1359,Planning - Resource Allocation,2,08-06-2025,3,Planning,"585,231,1076",307,Incomplete,10,27,1.0,2,Pending
955,Review - Documentation,3,01-04-2025,7,Review,126,433,Incomplete,10,41,1.0,1,Overdue
4309,Analysis - Code Refactoring,1,15-04-2025,3,Analysis,3595,215,Incomplete,6,27,0.6,2,Overdue
2345,Planning - Budget Report,1,05-09-2025,2,Planning,,451,Incomplete,2,116,0.2,0,Pending
836,Review - Documentation,2,26-08-2025,6,Review,420,231,Incomplete,4,106,0.4,0,Pending
3755,Meeting - Sprint Planning,2,08-10-2025,3,Meeting,"1330,574,1355",106,Incomplete,7,149,0.7,1,Pending
2938,Analysis - Performance Tuning,2,11-11-2025,4,Analysis,,478,Complete,7,183,0.7,0,Complete
1223,Review - Research Paper,2,06-06-2025,1,Review,,208,Incomplete,2,25,0.2,0,Pending
3817,Review - Experiment Design,2,23-04-2025,1,Review,"569,3190",591,Incomplete,2,19,0.2,2,Overdue
2214,Meeting - Sprint Planning,3,01-10-2025,4,Meeting,"1690,1020,296",518,Complete,7,142,0.7,2,Complete
1946,Analysis - Database Migration,3,19-04-2025,5,Analysis,"706,1925",392,Incomplete,8,23,0.8,2,Overdue
2276,Planning - Progress Review,1,15-02-2026,2,Planning,"58,1766,752",447,Complete,1,279,0.1,1,Complete
2969,Analysis - API Optimization,3,21-04-2025,4,Analysis,,174,Incomplete,3,21,0.3,3,Overdue
281,Meeting - Team Sync,2,04-07-2025,5,Meeting,251,128,Incomplete,10,53,1.0,0,Pending
3955,Planning - Budget Report,3,20-11-2025,6,Planning,"594,467,1980",511,Incomplete,10,192,1.0,2,Pending
1083,Analysis - Performance Tuning,3,28-07-2025,4,Analysis,690,543,Incomplete,3,77,0.3,3,Pending
2745,Review - Experiment Design,3,06-03-2026,4,Review,"2666,2001,2480",301,Complete,8,298,0.8,2,Complete
4502,Analysis - Code Refactoring,3,28-09-2025,4,Analysis,,411,Incomplete,1,139,0.1,1,Pending
4260,Review - Experiment Design,2,22-09-2025,8,Review,2648,151,Complete,8,133,0.8,3,Complete
808,Review - Documentation,1,17-08-2025,2,Review,730,488,Incomplete,1,97,0.1,3,Pending
1617,Review - Thesis Chapter,1,19-02-2026,2,Review,"403,373",546,Incomplete,6,283,0.6,2,Pending
4951,Meeting - Team Sync,1,11-05-2025,5,Meeting,,597,Incomplete,7,1,0.7,1,Overdue
3338,Planning - Budget Report,3,18-02-2026,8,Planning,,325,Complete,10,282,1.0,2,Complete
151,Planning - Progress Review,3,23-01-2026,2,Planning,"127,137",370,Incomplete,3,256,0.3,3,Pending
2990,Meeting - Retrospective,3,05-11-2025,4,Meeting,,385,Incomplete,5,177,0.5,0,Pending
2603,Review - Documentation,1,03-03-2026,3,Review,886,357,Incomplete,9,295,0.9,2,Pending
1516,Analysis - Database Migration,2,11-04-2025,6,Analysis,,358,Incomplete,8,31,0.8,3,Overdue
4669,Meeting - Retrospective,3,25-02-2026,2,Meeting,"3600,4271",201,Incomplete,4,289,0.4,1,Pending
1388,Planning - Resource Allocation,2,30-10-2025,6,Planning,"64,1092",376,Incomplete,9,171,0.9,1,Pending
2618,Review - Research Paper,3,28-06-2025,7,Review,1949,438,Incomplete,10,47,1.0,1,Pending
2470,Review - Thesis Chapter,2,05-07-2025,1,Review,"1627,345",565,Complete,8,54,0.8,2,Complete
749,Planning - Progress Review,2,07-11-2025,2,Planning,322,230,Incomplete,3,179,0.3,0,Pending
847,Analysis - Performance Tuning,3,14-01-2026,6,Analysis,,264,Complete,4,247,0.4,2,Complete
1478,Planning - Budget Report,1,22-02-2026,3,Planning,"751,1162,1014",422,Incomplete,1,286,0.1,2,Pending
4724,Analysis - Performance Tuning,2,13-02-2026,8,Analysis,,363,Incomplete,9,277,0.9,0,Pending
2466,Analysis - Database Migration,2,25-08-2025,8,Analysis,1163,550,Incomplete,10,105,1.0,2,Pending
997,Review - Experiment Design,3,19-03-2026,8,Review,"879,274,980",362,Incomplete,2,311,0.2,3,Pending
1940,Review - Documentation,3,13-04-2025,7,Review,,273,Incomplete,4,29,0.4,3,Overdue
4367,Meeting - Client Call,3,12-10-2025,8,Meeting,"1749,3110",226,Incomplete,3,153,0.3,2,Pending
378,Analysis - Performance Tuning,3,19-11-2025,1,Analysis,,437,Incomplete,7,191,0.7,1,Pending
4182,Meeting - Sprint Planning,2,14-07-2025,4,Meeting,"367,110",303,Complete,5,63,0.5,3,Complete
2744,Planning - Budget Report,1,05-11-2025,3,Planning,1120,301,Incomplete,8,177,0.8,3,Pending
2369,Meeting - Retrospective,1,14-07-2025,8,Meeting,"295,868",106,Incomplete,4,63,0.4,3,Pending
2062,Planning - Resource Allocation,2,19-01-2026,4,Planning,,113,Complete,10,252,1.0,0,Complete
1952,Review - Thesis Chapter,3,02-06-2025,8,Review,,565,Incomplete,1,21,0.1,0,Pending
4058,Review - Experiment Design,3,17-02-2026,7,Review,"3237,2604,4048",208,Incomplete,9,281,0.9,0,Pending
917,Meeting - Client Call,2,30-08-2025,5,Meeting,"562,915",551,Incomplete,3,110,0.3,0,Pending
2529,Analysis - API Optimization,3,19-05-2025,4,Analysis,665,433,Complete,8,7,0.8,1,Complete
3936,Analysis - Database Migration,2,26-04-2025,4,Analysis,"2296,2131,1900",232,Incomplete,3,16,0.3,2,Overdue
207,Planning - Progress Review,1,20-05-2025,2,Planning,71,529,Complete,10,8,1.0,0,Complete
1234,Planning - Roadmap,2,11-04-2025,7,Planning,,510,Incomplete,6,31,0.6,1,Overdue
2706,Meeting - Retrospective,3,02-12-2025,7,Meeting,,570,Incomplete,3,204,0.3,0,Pending
3690,Meeting - Sprint Planning,3,23-03-2026,2,Meeting,2206,467,Incomplete,2,315,0.2,1,Pending
1013,Review - Documentation,3,19-05-2025,3,Review,"187,898,674",207,Incomplete,2,7,0.2,0,Pending
4832,Meeting - Team Sync,2,28-02-2026,6,Meeting,"1607,4164,934",231,Incomplete,5,292,0.5,3,Pending
1934,Review - Thesis Chapter,1,10-01-2026,7,Review,"460,1021,71",314,Incomplete,8,243,0.8,3,Pending
116,Meeting - Client Call,3,06-10-2025,6,Meeting,43,397,Complete,5,147,0.5,3,Complete
859,Review - Research Paper,2,31-10-2025,8,Review,"817,796",517,Complete,8,172,0.8,1,Complete
421,Meeting - Retrospective,2,24-05-2025,5,Meeting,,152,Complete,6,12,0.6,2,Complete
304,Review - Thesis Chapter,2,14-10-2025,3,Review,,573,Complete,6,155,0.6,0,Complete
4704,Analysis - Database Migration,1,04-02-2026,1,Analysis,"1270,3366,2644",141,Complete,1,268,0.1,3,Complete
2029,Planning - Resource Allocation,3,13-06-2025,2,Planning,"725,1165",106,Incomplete,9,32,0.9,3,Pending
3919,Meeting - Retrospective,2,10-12-2025,2,Meeting,"2728,556,3605",556,Incomplete,4,212,0.4,2,Pending
927,Review - Documentation,1,08-04-2025,1,Review,"799,479",111,Incomplete,7,34,0.7,1,Overdue
4958,Planning - Progress Review,2,04-12-2025,2,Planning,"4729,2731,1785",384,Incomplete,7,206,0.7,0,Pending
3474,Meeting - Team Sync,2,23-09-2025,5,Meeting,,407,Incomplete,5,134,0.5,2,Pending
2481,Meeting - Client Call,1,29-11-2025,8,Meeting,,298,Incomplete,8,201,0.8,0,Pending
4690,Analysis - API Optimization,1,25-10-2025,6,Analysis,"1803,3386,1339",153,Complete,1,166,0.1,3,Complete
475,Planning - Resource Allocation,1,30-10-2025,6,Planning,"369,105",318,Incomplete,5,171,0.5,2,Pending
192,Review - Thesis Chapter,3,30-04-2025,1,Review,,237,Incomplete,3,12,0.3,3,Overdue
3010,Review - Experiment Design,3,08-10-2025,6,Review,"2716,465,112",408,Incomplete,8,149,0.8,3,Pending
3988,Analysis - API Optimization,3,09-09-2025,3,Analysis,573,291,Complete,4,120,0.4,3,Complete
101,Analysis - API Optimization,1,21-09-2025,3,Analysis,22,285,Complete,1,132,0.1,3,Complete
3732,Meeting - Sprint Planning,2,20-02-2026,5,Meeting,"3054,2920,1501",346,Complete,9,284,0.9,3,Complete
4111,Analysis - Code Refactoring,1,01-04-2025,6,Analysis,"2022,2680,1269",221,Incomplete,6,41,0.6,2,Overdue
1873,Review - Documentation,2,03-05-2025,3,Review,"1280,775,61",564,Incomplete,4,9,0.4,3,Overdue
1548,Review - Thesis Chapter,2,24-11-2025,2,Review,1461,543,Incomplete,10,196,1.0,2,Pending
1319,Review - Experiment Design,3,29-01-2026,2,Review,"1167,55,727",140,Incomplete,8,262,0.8,2,Pending
1482,Review - Research Paper,2,25-05-2025,6,Review,,138,Incomplete,6,13,0.6,2,Pending
1328,Analysis - Performance Tuning,1,24-12-2025,4,Analysis,,401,Complete,7,226,0.7,2,Complete
